reference_qualification,candidate,verifier,classifier,thresholds_changed,id,metric,numerator,denominator,unit,value,target,status,cohort,evidence,next
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q15,B advisory recall,11,11,count,1.0,>=90%,PASS,natural,b-diagnostic/candidate-method5-final.json,Frozen complete-original initial 60 unchanged; separate negative supplement correct. Combined decisive 54/61. Raw A bibliography has a damaged URL and remains undetermined; actual contact proposal is context. No A acceptance or safe release inferred.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q16,"B decisive judgments, initial cohort",53,60,count,0.8833333333333333,>=90%,FAIL,natural,b-diagnostic/candidate-method5-final.json,Frozen complete-original initial 60 unchanged; separate negative supplement correct. Combined decisive 54/61. Raw A bibliography has a damaged URL and remains undetermined; actual contact proposal is context. No A acceptance or safe release inferred.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q17,Provisional split exact spans and source bindings,55,55,count,1.0,all bindings; >=90% splits,PASS,natural,subdivision-diagnostic/results-v2.json,"Ten real complete parents, manually selected source spans, reversible counting/context mechanics. Semantic automation and peer approval are not established."
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q18,Production Canonical binding of subdivision diagnostic,,,count,,all,UNMEASURED,natural,canonical-binding-v1/results.json,"Actual Canonical now binds 55/55 exact source spans and 10/10 parent numbers. All ten real workflow B submissions correctly reject because A is unaccepted. Verify scoped accepted-A delivery without overriding unresolved source issues. Raw reference equality is 54/55; NFKC is 55/55, with original micro-sign text retained."
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-04,original-page-comparison/6,literal-requirements/5,False,Q19,Natural verifier error recall,8,29,count,0.27586206896551724,>=90%,FAIL,natural,diagnostics/candidate-spacing-method6/aggregate.json,"Detect cross-page, heading and grid defects specifically; generic Pending is not detection."
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-04,original-page-comparison/6,literal-requirements/5,False,Q20,Natural critical errors found and located,7,11,count,0.6363636363636364,all,FAIL,natural,diagnostics/candidate-spacing-method6/aggregate.json,Four observed critical cross-page relationship errors remain unlocated.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-04,original-page-comparison/6,literal-requirements/5,False,Q21,Effective actionable finding precision,8,33,count,0.24242424242424243,>=80%,FAIL,natural,diagnostics/candidate-spacing-method6/aggregate.json,Separate source tokenization artifacts from output errors; preserve 15 genuinely unverified visual scopes without calling them detected errors.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q22,Seeded errors detected and located,12,12,count,1.0,12/12,PASS,seeded,seeded-v1/candidate-method6.json,Seeded successes remain separate from natural recall.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q23,Paired unmodified controls with false alarms,0,12,count,0.0,<=1 control,PASS,seeded,seeded-v1/candidate-method6.json,No reference changes or control removal.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-04,original-page-comparison/6,literal-requirements/5,False,Q24,A safe automatic release,0,8,count,0.0,>=10%,FAIL,natural,diagnostics/candidate-spacing-method6/aggregate.json,"Evaluation cohort denominator: A pages, B source-complete judgments, end-to-end original source. Release-qualified subset is zero because evidence/calibration gates are unmet; automatic correctness is null."
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q25,B safe automatic release,0,61,count,0.0,>=10%,FAIL,natural,diagnostics/candidate-adjudicated-method6/aggregate.json,"Evaluation cohort denominator: A pages, B source-complete judgments, end-to-end original source. Release-qualified subset is zero because evidence/calibration gates are unmet; automatic correctness is null."
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-04,original-page-comparison/6,literal-requirements/5,False,Q26,end-to-end safe automatic release,0,1,count,0.0,>=10%,FAIL,natural,diagnostics/candidate-spacing-method6/aggregate.json,"Evaluation cohort denominator: A pages, B source-complete judgments, end-to-end original source. Release-qualified subset is zero because evidence/calibration gates are unmet; automatic correctness is null."
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q27,Matched duplicate finding instances removed,42,42,count,1.0,>=20% reduction,PASS,natural,workload/summary.json,Diagnostic prompts only. Candidate still has 25 false/generic prompts; no measured human-time reduction.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q28,"Independent reviewer tasks, outcome and time",,,count,,measured,UNMEASURED,natural,workload/summary.json,Use the item/scope map to organize actual reviewer sessions. Do not substitute 15120 database rows or Agent/tool time.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q29,list_read p95,,20,seconds,0.30404004099546,<=1s,PASS,performance,performance/measurements.json,"Nearest-rank local HTTP timing on a 38-document copy; engineering operations, not reviewer time."
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q30,cached_evidence_read p95,,20,seconds,0.728278832975775,<=2s,PASS,performance,performance/measurements.json,"Nearest-rank local HTTP timing on a 38-document copy; engineering operations, not reviewer time."
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q31,persistent_correction_save p95,,10,seconds,0.6322345830267295,<=2s,PASS,performance,performance/measurements.json,"Nearest-rank local HTTP timing on a 38-document copy; engineering operations, not reviewer time."
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q32,ordinary Excel convergence,,1,seconds,13.88452566700289,<=60s,PASS,performance,performance/measurements.json,Each measurement includes the background schedule/serialization interval.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q33,ordinary Excel convergence,,1,seconds,13.488789124996401,<=60s,PASS,performance,performance/measurements.json,Each measurement includes the background schedule/serialization interval.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q34,unlock_recovery Excel convergence,,1,seconds,15.555065832973924,<=60s,PASS,performance,performance/measurements.json,Each measurement includes the background schedule/serialization interval.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q35,Independent held-out source acceptance,,,count,,qualified independent labels,UNMEASURED,natural,sample-manifest.json,Collect independent labels and disjoint calibration/held-out material; this stage never relabels exposed samples.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q36,"Real scan, mixed PDF and photograph quality",,,count,,representative real source evidence,UNMEASURED,natural,sample-manifest.json,Synthetic scan proves the local repair path only. No selected real scanned body or photograph cohort.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q37,Live external enhancement comparison,,,count,,"same frozen samples: quality, time, cost, burden",UNMEASURED,natural,performance/measurements.json,External providers remain disabled. Do not send materials or activate a model without authorization.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q38,Native Excel visual acceptance,,,count,,actual Office visual check,UNMEASURED,natural,integrity/loop-export-readback.json,Mac unlock requested. Office structure and coherent data readback pass separately.
